Skill,Count
R,18551
Data Analysis,4840
Analytical,4380
SQL,3580
Machine Learning,2681
Python,1614
Excel,1601
Data Science,1444
Business Intelligence,1149
Power BI,1027
Data Mining,963
Data Visualization,870
SAS,812
Cloud,780
Git,769
Tableau,537
Big Data,530
Deep Learning,493
Azure,483
GCP,466
Spark,462
MySQL,417
AWS,399
Communication,323
Statistics,297
NoSQL,250
ETL,249
Computer Vision,223
Regression,223
Hadoop,207
SPSS,191
Leadership,166
PostgreSQL,120
NLP,112
TensorFlow,109
MongoDB,85
PyTorch,76
Problem Solving,69
Airflow,55
Pandas,51
NumPy,43
Scikit,24
Keras,24
Docker,21
Clustering,19
PowerBI,13
Classification,6
Feature Engineering,2
A/B Testing,0
